feature,nan_count,nan_pct,inf_count,inactive_count,zero_proportion,variance,std_dev,is_constant,issues
min,0,0.0,0,877,0.9379679144385027,0.7437323225961593,0.8623991666253854,False,OK
max,0,0.0,0,0,0.0,1846920.934427281,1359.0146924986798,False,OK
mean,0,0.0,0,0,0.0,17117.22153669885,130.83279992684882,False,OK
median,0,0.0,0,206,0.22032085561497325,6693.8080322687765,81.8156955129563,False,OK
sd,0,0.0,0,8,0.008556149732620321,29429.911393776154,171.55148321648565,False,OK
mean_activity_0,0,0.0,0,95,0.10160427807486631,20500.960621721693,143.18156523003125,False,OK
mean_activity_1,0,0.0,0,102,0.10909090909090909,12794.753280774747,113.11389517108297,False,OK
mean_activity_2,0,0.0,0,106,0.11336898395721925,9844.180678535577,99.21784455699276,False,OK
mean_activity_3,0,0.0,0,100,0.10695187165775401,4539.536253260658,67.37608072053952,False,OK
mean_activity_4,0,0.0,0,93,0.09946524064171124,3632.6751819155147,60.271678107677694,False,OK
mean_activity_5,0,0.0,0,85,0.09090909090909091,6524.382464878664,80.7736495701331,False,OK
mean_activity_6,0,0.0,0,86,0.09197860962566845,36344.17722886377,190.64148873963342,False,OK
mean_activity_7,0,0.0,0,73,0.07807486631016043,48016.01538015881,219.12556989123567,False,OK
mean_activity_8,0,0.0,0,59,0.06310160427807486,54716.59225194062,233.91578025422018,False,OK
mean_activity_9,0,0.0,0,58,0.06203208556149733,68651.86038705165,262.0150003092412,False,OK
mean_activity_10,0,0.0,0,60,0.06417112299465241,63281.43653615318,251.55801823069203,False,OK
mean_activity_11,0,0.0,0,56,0.059893048128342244,62518.59907814638,250.03719538929877,False,OK
mean_activity_12,0,0.0,0,63,0.06737967914438503,72075.5827875569,268.4689605663137,False,OK
mean_activity_13,0,0.0,0,69,0.07379679144385026,69780.40874791688,264.15981667906436,False,OK
mean_activity_14,0,0.0,0,72,0.07700534759358289,83855.5993659278,289.57831301036305,False,OK
mean_activity_15,0,0.0,0,71,0.07593582887700535,71881.88763727144,268.1079775711112,False,OK
mean_activity_16,0,0.0,0,85,0.09090909090909091,70993.2118852036,266.44551391457804,False,OK
mean_activity_17,0,0.0,0,94,0.10053475935828877,69709.05009130352,264.02471492514394,False,OK
mean_activity_18,0,0.0,0,100,0.10695187165775401,70460.48921460354,265.44394740623403,False,OK
mean_activity_19,0,0.0,0,101,0.10802139037433155,56115.63648029292,236.8873919825471,False,OK
mean_activity_20,0,0.0,0,101,0.10802139037433155,68311.80581005735,261.36527276984856,False,OK
mean_activity_21,0,0.0,0,97,0.10374331550802139,41232.02986386093,203.05671587972887,False,OK
mean_activity_22,0,0.0,0,93,0.09946524064171124,33495.246682771154,183.0170666434449,False,OK
mean_activity_23,0,0.0,0,107,0.1144385026737968,34526.72049047472,185.81367143048092,False,OK
inactive_ratio,0,0.0,0,58,0.06203208556149733,0.054035920224837275,0.23245627594203017,False,OK
longest_inactivity,0,0.0,0,58,0.06203208556149733,49399.39706168627,222.2597513309287,False,OK
is_constant_activity,0,0.0,0,927,0.9914438502673797,0.008492024413425095,0.09215218073070813,False,Mostly zero
12_hour_day_activity,0,0.0,0,9,0.009625668449197862,37161.05332773466,192.77202423519515,False,OK
12_hour_night_activity,0,0.0,0,35,0.0374331550802139,7787.739156466805,88.24816800629237,False,OK
day_night_ratio,0,0.0,0,44,0.047058823529411764,39371.2273140383,198.4218418270486,False,OK
mean_absolute_change_activity,0,0.0,0,8,0.008556149732620321,4146.0930944439215,64.39016302544917,False,OK
IV,8,0.008556149732620321,0,0,0.0,0.241215005488989,0.49113644284352287,False,NaNs
RA,0,0.0,0,8,0.008556149732620321,0.047320311740359965,0.2175323234380582,False,OK
activity_night,0,0.0,0,65,0.06951871657754011,4418.453162317993,66.47144621804156,False,OK
activity_morning,0,0.0,0,32,0.034224598930481284,29008.944237799686,170.32012282111495,False,OK
activity_afternoon,0,0.0,0,28,0.029946524064171122,47904.28972808646,218.87048619694357,False,OK
activity_evening,0,0.0,0,51,0.05454545454545454,30887.89756173108,175.74953075821023,False,OK
inactive_night,0,0.0,0,94,0.10053475935828877,0.09570451778141661,0.30936146783563173,False,OK
inactive_morning,0,0.0,0,93,0.09946524064171124,0.08796719995577953,0.2965926498680969,False,OK
inactive_afternoon,0,0.0,0,88,0.09411764705882353,0.08848418735153525,0.29746291760744775,False,OK
inactive_evening,0,0.0,0,87,0.09304812834224599,0.09642958344413188,0.3105311311996462,False,OK
person_id,0,0.0,0,0,0.0,76.88148266898739,8.768208635119684,False,OK
